timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/08/23 02:30:46.169, 0 %, 0 %, 4784 MiB
2026/08/23 02:30:56.170, 0 %, 0 %, 4784 MiB
2026/08/23 02:31:06.173, 9 %, 2 %, 4784 MiB
2026/08/23 02:31:16.175, 0 %, 0 %, 4784 MiB
2026/08/23 02:31:26.178, 0 %, 0 %, 4784 MiB
2026/08/23 02:31:36.181, 0 %, 0 %, 4784 MiB
2026/08/23 02:31:46.183, 0 %, 0 %, 4784 MiB
2026/08/23 02:31:56.185, 0 %, 0 %, 4784 MiB
2026/08/23 02:32:06.187, 23 %, 7 %, 4784 MiB
2026/08/23 02:32:16.189, 0 %, 0 %, 4784 MiB
2026/08/23 02:32:26.190, 0 %, 0 %, 4784 MiB
2026/08/23 02:32:36.191, 19 %, 6 %, 4784 MiB
2026/08/23 02:32:46.192, 19 %, 6 %, 4784 MiB
2026/08/23 02:32:56.198, 0 %, 0 %, 4784 MiB
2026/08/23 02:33:06.200, 0 %, 0 %, 4784 MiB
2026/08/23 02:33:16.201, 18 %, 6 %, 4784 MiB
2026/08/23 02:33:26.201, 0 %, 0 %, 4784 MiB
2026/08/23 02:33:36.203, 0 %, 0 %, 4784 MiB
2026/08/23 02:33:46.205, 21 %, 7 %, 4784 MiB
2026/08/23 02:33:56.208, 19 %, 6 %, 4784 MiB
2026/08/23 02:34:06.210, 0 %, 0 %, 4784 MiB
2026/08/23 02:34:16.213, 0 %, 0 %, 4784 MiB
2026/08/23 02:34:26.214, 13 %, 4 %, 4784 MiB
2026/08/23 02:34:36.216, 15 %, 4 %, 4784 MiB
2026/08/23 02:34:46.218, 0 %, 0 %, 4784 MiB
2026/08/23 02:34:56.219, 0 %, 0 %, 4784 MiB
2026/08/23 02:35:06.221, 22 %, 7 %, 4784 MiB
2026/08/23 02:35:16.224, 0 %, 0 %, 4784 MiB
2026/08/23 02:35:26.226, 0 %, 0 %, 4784 MiB
2026/08/23 02:35:36.230, 15 %, 4 %, 4784 MiB
2026/08/23 02:35:46.232, 18 %, 6 %, 4784 MiB
2026/08/23 02:35:56.233, 0 %, 0 %, 4784 MiB
2026/08/23 02:36:06.237, 0 %, 0 %, 4784 MiB
2026/08/23 02:36:16.239, 20 %, 6 %, 4784 MiB
2026/08/23 02:36:26.241, 20 %, 7 %, 4784 MiB
2026/08/23 02:36:36.247, 0 %, 0 %, 4784 MiB
2026/08/23 02:36:46.251, 0 %, 0 %, 4784 MiB
2026/08/23 02:36:56.255, 20 %, 6 %, 4784 MiB
2026/08/23 02:37:06.259, 0 %, 0 %, 4784 MiB
2026/08/23 02:37:16.259, 0 %, 0 %, 4784 MiB
2026/08/23 02:37:26.260, 15 %, 4 %, 4784 MiB
2026/08/23 02:37:36.263, 14 %, 4 %, 4784 MiB
2026/08/23 02:37:46.265, 0 %, 0 %, 4784 MiB
2026/08/23 02:37:56.267, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:06.270, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:16.271, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:26.272, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:36.279, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:46.281, 0 %, 0 %, 4784 MiB
2026/08/23 02:38:56.282, 0 %, 0 %, 4784 MiB
2026/08/23 02:39:06.286, 0 %, 0 %, 4784 MiB
2026/08/23 02:39:16.288, 12 %, 3 %, 4784 MiB
2026/08/23 02:39:26.288, 0 %, 0 %, 4784 MiB
2026/08/23 02:39:36.291, 0 %, 0 %, 4784 MiB
2026/08/23 02:39:46.292, 0 %, 0 %, 4784 MiB
2026/08/23 02:39:56.295, 0 %, 0 %, 4784 MiB
2026/08/23 02:40:06.295, 19 %, 6 %, 4784 MiB
2026/08/23 02:40:16.299, 0 %, 0 %, 4784 MiB
2026/08/23 02:40:26.300, 0 %, 0 %, 4784 MiB
2026/08/23 02:40:36.303, 0 %, 0 %, 4784 MiB
2026/08/23 02:40:46.305, 20 %, 6 %, 4784 MiB
2026/08/23 02:40:56.307, 23 %, 7 %, 4784 MiB
2026/08/23 02:41:06.309, 0 %, 0 %, 4784 MiB
2026/08/23 02:41:16.310, 0 %, 0 %, 4784 MiB
2026/08/23 02:41:26.311, 23 %, 7 %, 4784 MiB
2026/08/23 02:41:36.312, 0 %, 0 %, 4784 MiB
2026/08/23 02:41:46.314, 0 %, 0 %, 4784 MiB
2026/08/23 02:41:56.315, 9 %, 3 %, 4784 MiB
2026/08/23 02:42:06.319, 18 %, 6 %, 4784 MiB
2026/08/23 02:42:16.320, 0 %, 0 %, 4784 MiB
2026/08/23 02:42:26.322, 0 %, 0 %, 4784 MiB
2026/08/23 02:42:36.326, 0 %, 0 %, 4784 MiB
2026/08/23 02:42:46.328, 14 %, 4 %, 4784 MiB
2026/08/23 02:42:56.331, 13 %, 4 %, 4784 MiB
2026/08/23 02:43:06.335, 18 %, 6 %, 4784 MiB
2026/08/23 02:43:16.336, 20 %, 6 %, 4784 MiB
2026/08/23 02:43:26.336, 22 %, 7 %, 4784 MiB
2026/08/23 02:43:36.338, 19 %, 6 %, 4784 MiB
2026/08/23 02:43:46.347, 0 %, 0 %, 4784 MiB
2026/08/23 02:43:56.353, 18 %, 6 %, 4784 MiB
2026/08/23 02:44:06.356, 18 %, 6 %, 4784 MiB
2026/08/23 02:44:16.358, 18 %, 6 %, 4784 MiB
2026/08/23 02:44:26.362, 0 %, 0 %, 4784 MiB
2026/08/23 02:44:36.362, 14 %, 4 %, 4784 MiB
2026/08/23 02:44:46.364, 11 %, 4 %, 4784 MiB
2026/08/23 02:44:56.367, 0 %, 0 %, 4784 MiB
2026/08/23 02:45:06.371, 0 %, 0 %, 4784 MiB
2026/08/23 02:45:16.375, 10 %, 2 %, 4784 MiB
2026/08/23 02:45:26.378, 6 %, 2 %, 4784 MiB
2026/08/23 02:45:36.380, 0 %, 0 %, 4784 MiB
2026/08/23 02:45:46.385, 18 %, 6 %, 4784 MiB
2026/08/23 02:45:56.387, 0 %, 0 %, 4784 MiB
2026/08/23 02:46:06.389, 23 %, 7 %, 4784 MiB
2026/08/23 02:46:16.391, 17 %, 5 %, 4784 MiB
2026/08/23 02:46:26.392, 0 %, 0 %, 4784 MiB
2026/08/23 02:46:36.394, 20 %, 6 %, 4784 MiB
2026/08/23 02:46:46.395, 0 %, 0 %, 4784 MiB
2026/08/23 02:46:56.402, 15 %, 4 %, 4784 MiB
2026/08/23 02:47:06.405, 18 %, 6 %, 4784 MiB
2026/08/23 02:47:16.406, 0 %, 0 %, 4784 MiB
2026/08/23 02:47:26.407, 14 %, 4 %, 4784 MiB
2026/08/23 02:47:36.415, 14 %, 4 %, 4784 MiB
2026/08/23 02:47:46.420, 0 %, 0 %, 4784 MiB
2026/08/23 02:47:56.422, 18 %, 6 %, 4784 MiB
2026/08/23 02:48:06.424, 0 %, 0 %, 4784 MiB
2026/08/23 02:48:16.426, 19 %, 6 %, 4784 MiB
2026/08/23 02:48:26.428, 22 %, 7 %, 4784 MiB
2026/08/23 02:48:36.429, 0 %, 0 %, 4784 MiB
2026/08/23 02:48:46.430, 21 %, 6 %, 4784 MiB
2026/08/23 02:48:56.434, 22 %, 7 %, 4784 MiB
2026/08/23 02:49:06.448, 0 %, 0 %, 4784 MiB
2026/08/23 02:49:16.449, 22 %, 7 %, 4784 MiB
2026/08/23 02:49:26.449, 0 %, 0 %, 4784 MiB
2026/08/23 02:49:36.451, 13 %, 4 %, 4784 MiB
2026/08/23 02:49:46.455, 15 %, 4 %, 4784 MiB
2026/08/23 02:49:56.456, 0 %, 0 %, 4784 MiB
2026/08/23 02:50:06.457, 8 %, 2 %, 4784 MiB
2026/08/23 02:50:16.459, 0 %, 0 %, 4784 MiB
2026/08/23 02:50:26.460, 0 %, 0 %, 4784 MiB
2026/08/23 02:50:36.461, 0 %, 0 %, 4784 MiB
2026/08/23 02:50:46.462, 0 %, 0 %, 4784 MiB
2026/08/23 02:50:56.463, 0 %, 0 %, 4784 MiB
2026/08/23 02:51:06.467, 0 %, 0 %, 4784 MiB
2026/08/23 02:51:16.468, 19 %, 6 %, 4784 MiB
2026/08/23 02:51:26.468, 0 %, 0 %, 4784 MiB
2026/08/23 02:51:36.479, 15 %, 4 %, 4784 MiB
2026/08/23 02:51:46.483, 21 %, 6 %, 4784 MiB
2026/08/23 02:51:56.484, 0 %, 0 %, 4784 MiB
2026/08/23 02:52:06.488, 0 %, 0 %, 4784 MiB
2026/08/23 02:52:16.488, 22 %, 7 %, 4784 MiB
2026/08/23 02:52:26.492, 0 %, 0 %, 4784 MiB
2026/08/23 02:52:36.494, 17 %, 5 %, 4784 MiB
2026/08/23 02:52:46.496, 21 %, 7 %, 4784 MiB
2026/08/23 02:52:56.501, 0 %, 0 %, 4784 MiB
2026/08/23 02:53:06.501, 9 %, 3 %, 4784 MiB
2026/08/23 02:53:16.503, 17 %, 6 %, 4784 MiB
2026/08/23 02:53:26.505, 0 %, 0 %, 4784 MiB
2026/08/23 02:53:36.508, 0 %, 0 %, 4784 MiB
2026/08/23 02:53:46.511, 22 %, 7 %, 4784 MiB
2026/08/23 02:53:56.512, 0 %, 0 %, 4784 MiB
2026/08/23 02:54:06.515, 21 %, 6 %, 4784 MiB
2026/08/23 02:54:16.516, 19 %, 6 %, 4784 MiB
2026/08/23 02:54:26.521, 0 %, 0 %, 4784 MiB
2026/08/23 02:54:36.522, 0 %, 0 %, 4784 MiB
2026/08/23 02:54:46.529, 20 %, 6 %, 4784 MiB
2026/08/23 02:54:56.531, 0 %, 0 %, 4784 MiB
2026/08/23 02:55:06.532, 0 %, 0 %, 4784 MiB
2026/08/23 02:55:16.533, 22 %, 7 %, 4784 MiB
2026/08/23 02:55:26.534, 0 %, 0 %, 4784 MiB
2026/08/23 02:55:36.537, 6 %, 2 %, 4784 MiB
2026/08/23 02:55:46.547, 11 %, 4 %, 4784 MiB
2026/08/23 02:55:56.552, 13 %, 4 %, 4784 MiB
2026/08/23 02:56:06.561, 0 %, 0 %, 4784 MiB
2026/08/23 02:56:16.575, 0 %, 0 %, 4784 MiB
2026/08/23 02:56:26.575, 0 %, 0 %, 4784 MiB
2026/08/23 02:56:36.577, 0 %, 0 %, 4784 MiB
2026/08/23 02:56:46.581, 0 %, 0 %, 4784 MiB
2026/08/23 02:56:56.585, 0 %, 0 %, 4784 MiB
2026/08/23 02:57:06.586, 0 %, 0 %, 4784 MiB
2026/08/23 02:57:16.587, 0 %, 0 %, 4784 MiB
2026/08/23 02:57:26.589, 0 %, 0 %, 4784 MiB
2026/08/23 02:57:36.590, 0 %, 0 %, 4784 MiB
2026/08/23 02:57:46.592, 19 %, 6 %, 4784 MiB
2026/08/23 02:57:56.595, 0 %, 0 %, 4784 MiB
2026/08/23 02:58:06.597, 0 %, 0 %, 4784 MiB
2026/08/23 02:58:16.601, 22 %, 7 %, 4784 MiB
2026/08/23 02:58:26.602, 21 %, 7 %, 4784 MiB
2026/08/23 02:58:36.603, 0 %, 0 %, 4784 MiB
2026/08/23 02:58:46.606, 0 %, 0 %, 4784 MiB
2026/08/23 02:58:56.609, 20 %, 6 %, 4784 MiB
2026/08/23 02:59:06.610, 0 %, 0 %, 4784 MiB
2026/08/23 02:59:16.612, 0 %, 0 %, 4784 MiB
2026/08/23 02:59:26.613, 18 %, 6 %, 4784 MiB
2026/08/23 02:59:36.622, 19 %, 6 %, 4784 MiB
2026/08/23 02:59:46.625, 0 %, 0 %, 4784 MiB
2026/08/23 02:59:56.627, 14 %, 4 %, 4784 MiB
2026/08/23 03:00:06.631, 9 %, 3 %, 4784 MiB
2026/08/23 03:00:16.635, 6 %, 1 %, 4784 MiB
2026/08/23 03:00:26.638, 0 %, 0 %, 4784 MiB
2026/08/23 03:00:36.640, 17 %, 6 %, 4784 MiB
2026/08/23 03:00:46.641, 20 %, 7 %, 4784 MiB
2026/08/23 03:00:56.643, 0 %, 0 %, 4784 MiB
2026/08/23 03:01:06.649, 11 %, 3 %, 4784 MiB
2026/08/23 03:01:16.650, 23 %, 7 %, 4784 MiB
2026/08/23 03:01:26.653, 0 %, 0 %, 4784 MiB
2026/08/23 03:01:36.656, 0 %, 0 %, 4784 MiB
2026/08/23 03:01:46.657, 16 %, 5 %, 4784 MiB
2026/08/23 03:01:56.658, 18 %, 6 %, 4784 MiB
2026/08/23 03:02:06.662, 0 %, 0 %, 4784 MiB
2026/08/23 03:02:16.666, 0 %, 0 %, 4784 MiB
2026/08/23 03:02:26.668, 18 %, 6 %, 4784 MiB
2026/08/23 03:02:36.673, 0 %, 0 %, 4784 MiB
2026/08/23 03:02:46.674, 0 %, 0 %, 4784 MiB
2026/08/23 03:02:56.675, 12 %, 4 %, 4784 MiB
2026/08/23 03:03:06.679, 9 %, 3 %, 4784 MiB
2026/08/23 03:03:16.680, 0 %, 0 %, 4784 MiB
2026/08/23 03:03:26.682, 0 %, 0 %, 4784 MiB
2026/08/23 03:03:36.683, 0 %, 0 %, 4784 MiB
2026/08/23 03:03:46.685, 0 %, 0 %, 4784 MiB
2026/08/23 03:03:56.688, 13 %, 3 %, 4784 MiB
2026/08/23 03:04:06.691, 0 %, 0 %, 4784 MiB
2026/08/23 03:04:16.693, 0 %, 0 %, 4784 MiB
2026/08/23 03:04:26.698, 0 %, 0 %, 4784 MiB
2026/08/23 03:04:36.702, 0 %, 0 %, 4784 MiB
2026/08/23 03:04:46.706, 0 %, 0 %, 4784 MiB
2026/08/23 03:04:56.707, 0 %, 0 %, 4784 MiB
2026/08/23 03:05:06.709, 0 %, 0 %, 4784 MiB
2026/08/23 03:05:16.710, 0 %, 0 %, 4784 MiB
2026/08/23 03:05:26.713, 22 %, 7 %, 4784 MiB
2026/08/23 03:05:36.714, 0 %, 0 %, 4784 MiB
2026/08/23 03:05:46.715, 0 %, 0 %, 4784 MiB
2026/08/23 03:05:56.717, 2 %, 0 %, 4784 MiB
2026/08/23 03:06:06.720, 19 %, 6 %, 4784 MiB
2026/08/23 03:06:16.723, 18 %, 5 %, 4784 MiB
2026/08/23 03:06:26.725, 0 %, 0 %, 4784 MiB
2026/08/23 03:06:36.727, 0 %, 0 %, 4784 MiB
2026/08/23 03:06:46.729, 20 %, 6 %, 4784 MiB
2026/08/23 03:06:56.732, 0 %, 0 %, 4784 MiB
2026/08/23 03:07:06.734, 0 %, 0 %, 4784 MiB
2026/08/23 03:07:16.734, 20 %, 6 %, 4784 MiB
2026/08/23 03:07:26.736, 20 %, 6 %, 4784 MiB
2026/08/23 03:07:36.749, 0 %, 0 %, 4784 MiB
2026/08/23 03:07:46.753, 0 %, 0 %, 4784 MiB
2026/08/23 03:07:56.753, 15 %, 4 %, 4784 MiB
2026/08/23 03:08:06.755, 9 %, 3 %, 4784 MiB
2026/08/23 03:08:16.755, 0 %, 0 %, 4784 MiB
2026/08/23 03:08:26.756, 0 %, 0 %, 4784 MiB
2026/08/23 03:08:36.761, 18 %, 6 %, 4784 MiB
2026/08/23 03:08:46.766, 20 %, 6 %, 4784 MiB
2026/08/23 03:08:56.768, 0 %, 0 %, 4784 MiB
2026/08/23 03:09:06.771, 0 %, 0 %, 4784 MiB
2026/08/23 03:09:16.772, 20 %, 6 %, 4784 MiB
2026/08/23 03:09:26.773, 17 %, 5 %, 4784 MiB
2026/08/23 03:09:36.775, 0 %, 0 %, 4784 MiB
2026/08/23 03:09:46.776, 0 %, 0 %, 4784 MiB
2026/08/23 03:09:56.777, 21 %, 7 %, 4784 MiB
2026/08/23 03:10:06.784, 21 %, 7 %, 4784 MiB
2026/08/23 03:10:16.787, 0 %, 0 %, 4784 MiB
2026/08/23 03:10:26.788, 0 %, 0 %, 4784 MiB
2026/08/23 03:10:36.790, 22 %, 7 %, 4784 MiB
2026/08/23 03:10:46.792, 21 %, 7 %, 4784 MiB
2026/08/23 03:10:56.795, 0 %, 0 %, 4784 MiB
2026/08/23 03:11:06.799, 12 %, 4 %, 4784 MiB
2026/08/23 03:11:16.800, 13 %, 3 %, 4784 MiB
2026/08/23 03:11:26.801, 13 %, 4 %, 4784 MiB
2026/08/23 03:11:36.806, 0 %, 0 %, 4784 MiB
2026/08/23 03:11:46.807, 0 %, 0 %, 4784 MiB
2026/08/23 03:11:56.816, 0 %, 0 %, 4784 MiB
2026/08/23 03:12:06.819, 0 %, 0 %, 4784 MiB
2026/08/23 03:12:16.823, 21 %, 6 %, 4784 MiB
2026/08/23 03:12:26.824, 0 %, 0 %, 4784 MiB
2026/08/23 03:12:36.825, 18 %, 6 %, 4784 MiB
2026/08/23 03:12:46.826, 19 %, 6 %, 4784 MiB
2026/08/23 03:12:56.829, 0 %, 0 %, 4784 MiB
2026/08/23 03:13:06.832, 19 %, 6 %, 4784 MiB
2026/08/23 03:13:16.834, 0 %, 0 %, 4784 MiB
2026/08/23 03:13:26.837, 20 %, 7 %, 4784 MiB
2026/08/23 03:13:36.841, 0 %, 0 %, 4784 MiB
2026/08/23 03:13:46.841, 15 %, 4 %, 4784 MiB
2026/08/23 03:13:56.843, 14 %, 4 %, 4784 MiB
2026/08/23 03:14:06.853, 0 %, 0 %, 4784 MiB
2026/08/23 03:14:16.854, 19 %, 6 %, 4784 MiB
2026/08/23 03:14:26.857, 0 %, 0 %, 4784 MiB
2026/08/23 03:14:36.860, 21 %, 6 %, 4784 MiB
2026/08/23 03:14:46.864, 2 %, 0 %, 4784 MiB
2026/08/23 03:14:56.865, 0 %, 0 %, 4784 MiB
2026/08/23 03:15:06.865, 19 %, 6 %, 4784 MiB
2026/08/23 03:15:16.867, 0 %, 0 %, 4784 MiB
2026/08/23 03:15:26.869, 18 %, 6 %, 4784 MiB
2026/08/23 03:15:36.871, 0 %, 0 %, 4784 MiB
2026/08/23 03:15:46.871, 11 %, 4 %, 4784 MiB
2026/08/23 03:15:56.875, 9 %, 3 %, 4784 MiB
2026/08/23 03:16:06.879, 0 %, 0 %, 4784 MiB
2026/08/23 03:16:16.880, 0 %, 0 %, 4784 MiB
2026/08/23 03:16:26.880, 0 %, 0 %, 4784 MiB
2026/08/23 03:16:36.885, 10 %, 3 %, 4784 MiB
2026/08/23 03:16:46.888, 12 %, 3 %, 4784 MiB
2026/08/23 03:16:56.891, 7 %, 2 %, 4784 MiB
2026/08/23 03:17:06.895, 0 %, 0 %, 4784 MiB
2026/08/23 03:17:16.899, 19 %, 6 %, 4784 MiB
2026/08/23 03:17:26.900, 0 %, 0 %, 4784 MiB
2026/08/23 03:17:36.900, 18 %, 6 %, 4784 MiB
2026/08/23 03:17:46.905, 20 %, 6 %, 4784 MiB
2026/08/23 03:17:56.906, 0 %, 0 %, 4784 MiB
2026/08/23 03:18:06.907, 20 %, 6 %, 4784 MiB
2026/08/23 03:18:16.908, 20 %, 7 %, 4784 MiB
2026/08/23 03:18:26.909, 0 %, 0 %, 4784 MiB
2026/08/23 03:18:36.912, 20 %, 6 %, 4784 MiB
2026/08/23 03:18:46.917, 0 %, 0 %, 4784 MiB
2026/08/23 03:18:56.917, 0 %, 0 %, 4784 MiB
2026/08/23 03:19:06.921, 10 %, 3 %, 4784 MiB
2026/08/23 03:19:16.922, 15 %, 4 %, 4784 MiB
2026/08/23 03:19:26.925, 0 %, 0 %, 4784 MiB
2026/08/23 03:19:36.927, 22 %, 7 %, 4784 MiB
2026/08/23 03:19:46.930, 0 %, 0 %, 4784 MiB
2026/08/23 03:19:56.932, 22 %, 7 %, 4784 MiB
2026/08/23 03:20:06.933, 14 %, 4 %, 4784 MiB
2026/08/23 03:20:16.935, 0 %, 0 %, 4784 MiB
2026/08/23 03:20:26.936, 11 %, 3 %, 4784 MiB
2026/08/23 03:20:36.939, 19 %, 6 %, 4784 MiB
2026/08/23 03:20:46.941, 0 %, 0 %, 4784 MiB
2026/08/23 03:20:56.943, 23 %, 7 %, 4784 MiB
2026/08/23 03:21:06.946, 21 %, 7 %, 4784 MiB
2026/08/23 03:21:16.953, 0 %, 0 %, 4784 MiB
2026/08/23 03:21:26.955, 14 %, 4 %, 4784 MiB
2026/08/23 03:21:36.963, 14 %, 4 %, 4784 MiB
2026/08/23 03:21:46.967, 0 %, 0 %, 4784 MiB
2026/08/23 03:21:56.968, 0 %, 0 %, 4784 MiB
2026/08/23 03:22:06.970, 0 %, 0 %, 4784 MiB
2026/08/23 03:22:16.973, 0 %, 0 %, 4784 MiB
2026/08/23 03:22:26.974, 0 %, 0 %, 4784 MiB
2026/08/23 03:22:36.976, 0 %, 0 %, 4784 MiB
2026/08/23 03:22:46.977, 10 %, 2 %, 4784 MiB
2026/08/23 03:22:56.981, 0 %, 0 %, 4784 MiB
2026/08/23 03:23:06.983, 0 %, 0 %, 4784 MiB
2026/08/23 03:23:16.985, 0 %, 0 %, 4784 MiB
2026/08/23 03:23:26.986, 19 %, 6 %, 4784 MiB
2026/08/23 03:23:36.989, 0 %, 0 %, 4784 MiB
2026/08/23 03:23:46.989, 13 %, 4 %, 4784 MiB
2026/08/23 03:23:56.992, 21 %, 6 %, 4784 MiB
2026/08/23 03:24:06.992, 0 %, 0 %, 4784 MiB
2026/08/23 03:24:16.994, 0 %, 0 %, 4784 MiB
2026/08/23 03:24:26.996, 19 %, 6 %, 4784 MiB
2026/08/23 03:24:36.998, 0 %, 0 %, 4784 MiB
2026/08/23 03:24:47.001, 0 %, 0 %, 4784 MiB
2026/08/23 03:24:57.001, 22 %, 7 %, 4784 MiB
