timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/08/23 03:25:07.003, 21 %, 6 %, 4784 MiB
2026/08/23 03:25:17.005, 0 %, 0 %, 4784 MiB
2026/08/23 03:25:27.006, 13 %, 4 %, 4784 MiB
2026/08/23 03:25:37.007, 15 %, 4 %, 4784 MiB
2026/08/23 03:25:47.010, 0 %, 0 %, 4784 MiB
2026/08/23 03:25:57.011, 0 %, 0 %, 4784 MiB
2026/08/23 03:26:07.012, 18 %, 6 %, 4784 MiB
2026/08/23 03:26:17.016, 0 %, 0 %, 4784 MiB
2026/08/23 03:26:27.019, 0 %, 0 %, 4784 MiB
2026/08/23 03:26:37.021, 23 %, 7 %, 4784 MiB
2026/08/23 03:26:47.025, 21 %, 6 %, 4784 MiB
2026/08/23 03:26:57.027, 0 %, 0 %, 4784 MiB
2026/08/23 03:27:07.030, 20 %, 7 %, 4784 MiB
2026/08/23 03:27:17.032, 23 %, 7 %, 4784 MiB
2026/08/23 03:27:27.036, 0 %, 0 %, 4784 MiB
2026/08/23 03:27:37.037, 18 %, 6 %, 4784 MiB
2026/08/23 03:27:47.039, 22 %, 7 %, 4784 MiB
2026/08/23 03:27:57.040, 0 %, 0 %, 4784 MiB
2026/08/23 03:28:07.053, 0 %, 0 %, 4784 MiB
2026/08/23 03:28:17.058, 12 %, 4 %, 4784 MiB
2026/08/23 03:28:27.064, 14 %, 4 %, 4784 MiB
2026/08/23 03:28:37.066, 0 %, 0 %, 4784 MiB
2026/08/23 03:28:47.067, 11 %, 3 %, 4784 MiB
2026/08/23 03:28:57.068, 0 %, 0 %, 4784 MiB
2026/08/23 03:29:07.081, 8 %, 2 %, 4784 MiB
2026/08/23 03:29:17.082, 0 %, 0 %, 4784 MiB
2026/08/23 03:29:27.085, 13 %, 3 %, 4784 MiB
2026/08/23 03:29:37.085, 0 %, 0 %, 4784 MiB
2026/08/23 03:29:47.088, 0 %, 0 %, 4784 MiB
2026/08/23 03:29:57.089, 0 %, 0 %, 4784 MiB
2026/08/23 03:30:07.091, 0 %, 0 %, 4784 MiB
2026/08/23 03:30:17.094, 0 %, 0 %, 4784 MiB
2026/08/23 03:30:27.096, 1 %, 0 %, 4784 MiB
2026/08/23 03:30:37.098, 21 %, 7 %, 4784 MiB
2026/08/23 03:30:47.102, 0 %, 0 %, 4784 MiB
2026/08/23 03:30:57.106, 0 %, 0 %, 4784 MiB
2026/08/23 03:31:07.108, 22 %, 7 %, 4784 MiB
2026/08/23 03:31:17.110, 20 %, 6 %, 4784 MiB
2026/08/23 03:31:27.113, 0 %, 0 %, 4784 MiB
2026/08/23 03:31:37.114, 18 %, 6 %, 4784 MiB
2026/08/23 03:31:47.115, 20 %, 6 %, 4784 MiB
2026/08/23 03:31:57.117, 0 %, 0 %, 4784 MiB
2026/08/23 03:32:07.120, 0 %, 0 %, 4784 MiB
2026/08/23 03:32:17.126, 22 %, 7 %, 4784 MiB
2026/08/23 03:32:27.127, 0 %, 0 %, 4784 MiB
2026/08/23 03:32:37.127, 0 %, 0 %, 4784 MiB
2026/08/23 03:32:47.131, 13 %, 4 %, 4784 MiB
2026/08/23 03:32:57.139, 15 %, 4 %, 4784 MiB
2026/08/23 03:33:07.142, 0 %, 0 %, 4784 MiB
2026/08/23 03:33:17.143, 0 %, 0 %, 4784 MiB
2026/08/23 03:33:27.145, 18 %, 6 %, 4784 MiB
2026/08/23 03:33:37.155, 21 %, 7 %, 4784 MiB
2026/08/23 03:33:47.157, 0 %, 0 %, 4784 MiB
2026/08/23 03:33:57.159, 0 %, 0 %, 4784 MiB
2026/08/23 03:34:07.160, 20 %, 6 %, 4784 MiB
2026/08/23 03:34:17.164, 22 %, 7 %, 4784 MiB
2026/08/23 03:34:27.170, 0 %, 0 %, 4784 MiB
2026/08/23 03:34:37.171, 0 %, 0 %, 4784 MiB
2026/08/23 03:34:47.174, 22 %, 7 %, 4784 MiB
2026/08/23 03:34:57.175, 0 %, 0 %, 4784 MiB
2026/08/23 03:35:07.178, 0 %, 0 %, 4784 MiB
2026/08/23 03:35:17.178, 22 %, 7 %, 4784 MiB
2026/08/23 03:35:27.182, 19 %, 6 %, 4784 MiB
2026/08/23 03:35:37.187, 0 %, 0 %, 4784 MiB
2026/08/23 03:35:47.190, 0 %, 0 %, 4784 MiB
2026/08/23 03:35:57.191, 12 %, 3 %, 4784 MiB
2026/08/23 03:36:07.197, 15 %, 5 %, 4784 MiB
2026/08/23 03:36:17.199, 0 %, 0 %, 4784 MiB
2026/08/23 03:36:27.200, 0 %, 0 %, 4784 MiB
2026/08/23 03:36:37.204, 0 %, 0 %, 4784 MiB
2026/08/23 03:36:47.205, 0 %, 0 %, 4784 MiB
2026/08/23 03:36:57.205, 11 %, 3 %, 4784 MiB
2026/08/23 03:37:07.206, 0 %, 0 %, 4784 MiB
2026/08/23 03:37:17.208, 1 %, 0 %, 4784 MiB
2026/08/23 03:37:27.210, 15 %, 5 %, 4784 MiB
2026/08/23 03:37:37.210, 21 %, 6 %, 4784 MiB
2026/08/23 03:37:47.211, 20 %, 7 %, 4784 MiB
2026/08/23 03:37:57.212, 21 %, 7 %, 4784 MiB
2026/08/23 03:38:07.213, 0 %, 0 %, 4784 MiB
2026/08/23 03:38:17.214, 19 %, 6 %, 4784 MiB
2026/08/23 03:38:27.215, 0 %, 0 %, 4784 MiB
2026/08/23 03:38:37.222, 18 %, 6 %, 4784 MiB
2026/08/23 03:38:47.224, 19 %, 6 %, 4784 MiB
2026/08/23 03:38:57.227, 15 %, 4 %, 4784 MiB
2026/08/23 03:39:07.235, 14 %, 4 %, 4784 MiB
2026/08/23 03:39:17.240, 0 %, 0 %, 4784 MiB
2026/08/23 03:39:27.240, 22 %, 7 %, 4784 MiB
2026/08/23 03:39:37.241, 0 %, 0 %, 4784 MiB
2026/08/23 03:39:47.242, 19 %, 6 %, 4784 MiB
2026/08/23 03:39:57.243, 18 %, 6 %, 4784 MiB
2026/08/23 03:40:07.244, 0 %, 0 %, 4784 MiB
2026/08/23 03:40:17.247, 19 %, 6 %, 4784 MiB
2026/08/23 03:40:27.249, 18 %, 5 %, 4784 MiB
2026/08/23 03:40:37.254, 18 %, 6 %, 4784 MiB
2026/08/23 03:40:47.255, 22 %, 7 %, 4784 MiB
2026/08/23 03:40:57.256, 0 %, 0 %, 4784 MiB
2026/08/23 03:41:07.259, 14 %, 4 %, 4784 MiB
2026/08/23 03:41:17.263, 17 %, 6 %, 4784 MiB
2026/08/23 03:41:27.265, 0 %, 0 %, 4784 MiB
2026/08/23 03:41:37.267, 0 %, 0 %, 4784 MiB
2026/08/23 03:41:47.268, 0 %, 0 %, 4784 MiB
2026/08/23 03:41:57.268, 0 %, 0 %, 4784 MiB
2026/08/23 03:42:07.272, 0 %, 0 %, 4784 MiB
2026/08/23 03:42:17.273, 1 %, 0 %, 4784 MiB
2026/08/23 03:42:27.279, 0 %, 0 %, 4784 MiB
2026/08/23 03:42:37.280, 17 %, 5 %, 4784 MiB
2026/08/23 03:42:47.280, 0 %, 0 %, 4784 MiB
2026/08/23 03:42:57.284, 18 %, 6 %, 4784 MiB
2026/08/23 03:43:07.285, 22 %, 7 %, 4784 MiB
2026/08/23 03:43:17.288, 0 %, 0 %, 4784 MiB
2026/08/23 03:43:27.289, 22 %, 7 %, 4784 MiB
2026/08/23 03:43:37.292, 21 %, 7 %, 4784 MiB
2026/08/23 03:43:47.295, 0 %, 0 %, 4784 MiB
2026/08/23 03:43:57.298, 23 %, 7 %, 4784 MiB
2026/08/23 03:44:07.302, 0 %, 0 %, 4784 MiB
2026/08/23 03:44:17.304, 15 %, 4 %, 4784 MiB
2026/08/23 03:44:27.307, 12 %, 4 %, 4784 MiB
2026/08/23 03:44:37.309, 13 %, 4 %, 4784 MiB
2026/08/23 03:44:47.311, 0 %, 0 %, 4784 MiB
2026/08/23 03:44:57.314, 19 %, 6 %, 4784 MiB
2026/08/23 03:45:07.317, 0 %, 0 %, 4784 MiB
2026/08/23 03:45:17.325, 15 %, 4 %, 4784 MiB
2026/08/23 03:45:27.330, 20 %, 7 %, 4784 MiB
2026/08/23 03:45:37.333, 0 %, 0 %, 4784 MiB
2026/08/23 03:45:47.336, 0 %, 0 %, 4784 MiB
2026/08/23 03:45:57.337, 18 %, 6 %, 4784 MiB
2026/08/23 03:46:07.345, 0 %, 0 %, 4784 MiB
2026/08/23 03:46:17.346, 18 %, 6 %, 4784 MiB
2026/08/23 03:46:27.349, 21 %, 6 %, 4784 MiB
2026/08/23 03:46:37.350, 0 %, 0 %, 4784 MiB
2026/08/23 03:46:47.356, 12 %, 4 %, 4784 MiB
2026/08/23 03:46:57.356, 12 %, 4 %, 4784 MiB
2026/08/23 03:47:07.357, 0 %, 0 %, 4784 MiB
2026/08/23 03:47:17.359, 0 %, 0 %, 4784 MiB
2026/08/23 03:47:27.361, 0 %, 0 %, 4784 MiB
2026/08/23 03:47:37.369, 0 %, 0 %, 4784 MiB
2026/08/23 03:47:47.370, 0 %, 0 %, 4784 MiB
2026/08/23 03:47:57.372, 0 %, 0 %, 4784 MiB
2026/08/23 03:48:07.376, 0 %, 0 %, 4784 MiB
2026/08/23 03:48:17.377, 0 %, 0 %, 4784 MiB
2026/08/23 03:48:27.379, 0 %, 0 %, 4784 MiB
2026/08/23 03:48:37.380, 0 %, 0 %, 4784 MiB
2026/08/23 03:48:47.381, 20 %, 6 %, 4784 MiB
2026/08/23 03:48:57.383, 0 %, 0 %, 4784 MiB
2026/08/23 03:49:07.387, 20 %, 6 %, 4784 MiB
2026/08/23 03:49:17.389, 20 %, 7 %, 4784 MiB
2026/08/23 03:49:27.389, 0 %, 0 %, 4784 MiB
2026/08/23 03:49:37.392, 0 %, 0 %, 4784 MiB
2026/08/23 03:49:47.392, 20 %, 7 %, 4784 MiB
2026/08/23 03:49:57.394, 0 %, 0 %, 4784 MiB
2026/08/23 03:50:07.395, 0 %, 0 %, 4784 MiB
2026/08/23 03:50:17.397, 22 %, 7 %, 4784 MiB
2026/08/23 03:50:27.398, 0 %, 0 %, 4784 MiB
2026/08/23 03:50:37.401, 0 %, 0 %, 4784 MiB
2026/08/23 03:50:47.403, 14 %, 4 %, 4784 MiB
2026/08/23 03:50:57.411, 13 %, 4 %, 4784 MiB
2026/08/23 03:51:07.412, 0 %, 0 %, 4784 MiB
2026/08/23 03:51:17.413, 0 %, 0 %, 4784 MiB
2026/08/23 03:51:27.414, 19 %, 6 %, 4784 MiB
2026/08/23 03:51:37.417, 0 %, 0 %, 4784 MiB
2026/08/23 03:51:47.420, 14 %, 4 %, 4784 MiB
2026/08/23 03:51:57.421, 23 %, 7 %, 4784 MiB
2026/08/23 03:52:07.422, 0 %, 0 %, 4784 MiB
2026/08/23 03:52:17.424, 0 %, 0 %, 4784 MiB
2026/08/23 03:52:27.427, 19 %, 6 %, 4784 MiB
2026/08/23 03:52:37.429, 20 %, 6 %, 4784 MiB
2026/08/23 03:52:47.429, 0 %, 0 %, 4784 MiB
2026/08/23 03:52:57.430, 21 %, 6 %, 4784 MiB
2026/08/23 03:53:07.432, 23 %, 7 %, 4784 MiB
2026/08/23 03:53:17.435, 0 %, 0 %, 4784 MiB
2026/08/23 03:53:27.437, 13 %, 4 %, 4784 MiB
2026/08/23 03:53:37.438, 15 %, 4 %, 4784 MiB
2026/08/23 03:53:47.443, 0 %, 0 %, 4784 MiB
2026/08/23 03:53:57.445, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:07.448, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:17.450, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:27.451, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:37.453, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:47.453, 0 %, 0 %, 4784 MiB
2026/08/23 03:54:57.457, 0 %, 0 %, 4784 MiB
2026/08/23 03:55:07.459, 0 %, 0 %, 4784 MiB
2026/08/23 03:55:17.460, 0 %, 0 %, 4784 MiB
2026/08/23 03:55:27.461, 0 %, 0 %, 4784 MiB
2026/08/23 03:55:37.461, 0 %, 0 %, 4784 MiB
2026/08/23 03:55:47.465, 18 %, 6 %, 4784 MiB
2026/08/23 03:55:57.467, 13 %, 4 %, 4784 MiB
2026/08/23 03:56:07.470, 0 %, 0 %, 4784 MiB
2026/08/23 03:56:17.470, 15 %, 4 %, 4784 MiB
2026/08/23 03:56:27.471, 20 %, 7 %, 4784 MiB
2026/08/23 03:56:37.472, 0 %, 0 %, 4784 MiB
2026/08/23 03:56:47.473, 0 %, 0 %, 4784 MiB
2026/08/23 03:56:57.474, 19 %, 6 %, 4784 MiB
2026/08/23 03:57:07.475, 22 %, 7 %, 4784 MiB
2026/08/23 03:57:17.476, 0 %, 0 %, 4784 MiB
2026/08/23 03:57:27.479, 0 %, 0 %, 4784 MiB
2026/08/23 03:57:37.480, 19 %, 6 %, 4784 MiB
2026/08/23 03:57:47.483, 0 %, 0 %, 4784 MiB
2026/08/23 03:57:57.483, 0 %, 0 %, 4784 MiB
2026/08/23 03:58:07.486, 14 %, 4 %, 4784 MiB
2026/08/23 03:58:17.488, 13 %, 4 %, 4784 MiB
2026/08/23 03:58:27.488, 0 %, 0 %, 4784 MiB
2026/08/23 03:58:37.489, 0 %, 0 %, 4784 MiB
2026/08/23 03:58:47.501, 0 %, 0 %, 4784 MiB
2026/08/23 03:58:57.505, 20 %, 6 %, 4784 MiB
2026/08/23 03:59:07.509, 0 %, 0 %, 4784 MiB
2026/08/23 03:59:17.513, 0 %, 0 %, 4784 MiB
2026/08/23 03:59:27.514, 20 %, 6 %, 4784 MiB
2026/08/23 03:59:37.515, 22 %, 7 %, 4784 MiB
2026/08/23 03:59:47.515, 0 %, 0 %, 4784 MiB
2026/08/23 03:59:57.521, 0 %, 0 %, 4784 MiB
2026/08/23 04:00:07.524, 22 %, 7 %, 4784 MiB
2026/08/23 04:00:17.525, 19 %, 6 %, 4784 MiB
2026/08/23 04:00:27.527, 0 %, 0 %, 4784 MiB
2026/08/23 04:00:37.533, 0 %, 0 %, 4784 MiB
2026/08/23 04:00:47.534, 20 %, 6 %, 4784 MiB
2026/08/23 04:00:57.535, 0 %, 0 %, 4784 MiB
2026/08/23 04:01:07.538, 0 %, 0 %, 4784 MiB
2026/08/23 04:01:17.541, 13 %, 4 %, 4784 MiB
2026/08/23 04:01:27.543, 14 %, 4 %, 4784 MiB
2026/08/23 04:01:37.546, 13 %, 4 %, 4784 MiB
2026/08/23 04:01:47.547, 0 %, 0 %, 4784 MiB
2026/08/23 04:01:57.551, 0 %, 0 %, 4784 MiB
2026/08/23 04:02:07.557, 0 %, 0 %, 4784 MiB
2026/08/23 04:02:17.558, 0 %, 0 %, 4784 MiB
2026/08/23 04:02:27.559, 0 %, 0 %, 4784 MiB
2026/08/23 04:02:37.562, 0 %, 0 %, 4784 MiB
2026/08/23 04:02:47.564, 9 %, 2 %, 4784 MiB
2026/08/23 04:02:57.566, 0 %, 0 %, 4784 MiB
2026/08/23 04:03:07.567, 0 %, 0 %, 4784 MiB
2026/08/23 04:03:17.570, 5 %, 1 %, 4784 MiB
2026/08/23 04:03:27.570, 0 %, 0 %, 4784 MiB
2026/08/23 04:03:37.573, 0 %, 0 %, 4784 MiB
2026/08/23 04:03:47.573, 0 %, 0 %, 4784 MiB
2026/08/23 04:03:57.574, 19 %, 6 %, 4784 MiB
2026/08/23 04:04:07.578, 13 %, 4 %, 4784 MiB
2026/08/23 04:04:17.582, 20 %, 6 %, 4784 MiB
2026/08/23 04:04:27.585, 0 %, 0 %, 4784 MiB
2026/08/23 04:04:37.590, 22 %, 7 %, 4784 MiB
2026/08/23 04:04:47.592, 0 %, 0 %, 4784 MiB
2026/08/23 04:04:57.595, 22 %, 7 %, 4784 MiB
2026/08/23 04:05:07.601, 0 %, 0 %, 4784 MiB
2026/08/23 04:05:17.602, 13 %, 4 %, 4784 MiB
2026/08/23 04:05:27.609, 18 %, 6 %, 4784 MiB
2026/08/23 04:05:37.611, 12 %, 4 %, 4784 MiB
2026/08/23 04:05:47.612, 22 %, 7 %, 4784 MiB
2026/08/23 04:05:57.616, 17 %, 6 %, 4784 MiB
